root,serial-等级,serial-词性,serial-释义,serial-短语,sentence,reviewcode-话题,reviewcode-态度,reviewcode-类型,reviewcode-小类,content,translation,remark,count
director,,,,,,,,同义替换,,directorial roles` directors,总监/董事职位`董事们,,0
information,,,,,,,,同义替换,,information gap` information asymmetry` misunderstandings` information imbalances,信息差`信息不对称`误解`信息失衡,,0
employee,,,,,,,,同义替换,,ordinary workers` employees` executive and average employee,普通工人`员工`高管与普通员工,,0
company,,,,,,,,同义替换,,company` corporate` organisation,公司`企业`组织,,0
differential,,,,,,,,词伙,,such differentials,这样的差异,,0
potential,,,,,,,,词伙,,its potential to (exacerbate inequality),其（加剧不平等的）潜力,,0
rationality,,,,,,,,词伙,,commercial rationality,商业理性,,0
capital,,,,,,,,词伙,,purchasing scarce (decision-making) capital,购买稀缺的（决策）资本,,0
premium,,,,,,,,词伙,,risk premium,风险溢价,经济学概念，指为承担更高风险而支付的额外补偿,0
premium,,,,,,,,词伙,,it constitutes a risk premium,它构成了一种风险溢价,,0
decision,,,,,,,,词伙,,make pivotal decisions,做出关键决策,,0
development,,,,,,,,词伙,,steer a company’s development,引领公司发展,,0
responsibility,,,,,,,,词伙,,bear (ultimate) responsibility for (its risks),承担（对风险的最终）责任,,0
professional,,,,,,,,词伙,,seasoned professionals,经验丰富的专业人士,,0
strategy,,,,,,,,词伙,,devise (more effective) strategies to (navigate risks),设计（更有效的）策略以（规避风险）,,0
skill,,,,,,,,词伙,,a skill set,一套技能组合,,0
reward,,,,,,,,词伙,,commands greater reward,要求更高的回报,,0
incentive,,,,,,,,词伙,,it aligns (individual incentives) with (the company's long-term success),它将（个人激励）与（公司的长期成功）相结合,,0
motivation,,,,,,,,词伙,,motivating … to contribute wholeheartedly,激励…全心全意地贡献,,0
cycle,,,,,,,,词伙,,a self-reinforcing cycle,自我强化的循环,,0
viability,,,,,,,,词伙,,commercial drive/viability,商业驱动力/生存能力,,0
dominance,,,,,,,,词伙,,brand dominance,品牌主导地位,,0
mandate,,,,,,,,词伙,,a well-intentioned yet ineffective mandate,一个出于好意但无效的强制规定,,0
field,,,,,,,,词伙,,level the playing field,创造公平竞争环境,,0
intervention,,,,,,,,词伙,,proactive intervention,积极干预,,0
approach,,,,,,,,词伙,,sustainable approach,可持续的方案,,0
competence,,,,,,,,词伙,,sb. lacking the requisite competence,某人缺乏必要的能力,,0
practice,,,,,,,,词伙,,adopt`employ` follow`continue` cease`stop … practices,采用`运用`遵循`继续`停止`终止…的做法,,0
conduct,,,,,,,,词伙,,adopt`employ` follow`continue` cease`stop … conduct,采取`进行`遵循…的行为,多指具体行为,0
behaviour,,,,,,,,词伙,,adopt`employ` follow`continue` cease`stop … behaviour,表现出…的行为,,0
activity,,,,,,,,词伙,,adopt`employ` follow`continue` cease`stop … activities,从事…的活动,,0
practice,,,,,,,,词伙,,engage in corrupt practices,从事腐败行为,,0
practice,,,,,,,,词伙,,The company was fined for engaging in unethical marketing practices.,该公司因从事不道德营销活动被罚款。,“engage in”框架负面用法,0
practice,,,,,,,,词伙,,The investigation revealed that the firm had engaged in deceptive accounting practices.,调查显示该公司从事了欺诈性会计操作。,“engage in”框架负面用法,0
practice,,,,,,,,词伙,,The NGO campaigns against corporations that engage in exploitative labor practices.,该非政府组织抗议从事剥削性劳工行为的企业。,“engage in”框架负面用法,0
practice,,,,,,,,词伙,,The law prohibits employers from engaging in discriminatory hiring practices.,法律禁止雇主从事歧视性招聘行为。,“engage in”框架负面用法,0
practice,,,,,,,,词伙,,The tech giant was accused of engaging in anti-competitive practices to maintain its monopoly.,该科技巨头被指控从事反竞争行为以维持垄断。,“engage in”框架商业负面用法,0
practice,,,,,,,,词伙,,engage in corrupt practices,从事腐败行为,,0
practice,,,,,,,,词伙,,engage in unfair trading practices,从事不公平交易行为,,0
practice,,,,,,,,词伙,,More farmers are now engaging in sustainable agricultural practices.,更多农民现在从事可持续农业实践。,“engage in”框架正面用法,0
practice,,,,,,,,词伙,,Some companies still engage in environmentally damaging practices.,一些公司仍在从事破坏环境的行为。,“engage in”框架负面用法,0
practice,,,,,,,,词伙,,We encourage all departments to engage in industry best practices.,我们鼓励所有部门采用行业最佳实践。,“engage in”框架中性/正面用法,0
practice,,,,,,,,词伙,,The workshop aimed to help teachers reflect on and improve their teaching practices.,该研讨会旨在帮助教师反思并改进其教学实践。,“engage in”框架中性用法,0
practice,,,,,,,,词伙,,Cultural differences often manifest in different business practices.,文化差异常体现在不同的商业惯例中。,“engage in”框架中性用法,0
practice,,,,,,,,词伙,,engage in financial practices,从事金融活动/操作,,0
practice,,,,,,,,词伙,,Educating children to engage in healthy eating practices is crucial.,教育儿童养成健康的饮食习惯至关重要。,“engage in”框架正面用法,0
practice,,,,,,,,词伙,,All workers must engage in safe working practices on the construction site.,所有工人在建筑工地都必须遵守安全操作规程。,“engage in”框架正面用法,0
practice,,,,,,,,词伙,,The school is commended for its inclusive educational practices.,该校因其包容性的教育实践而受到表彰。,“engage in”框架正面用法,0
practice,,,,,,,,词伙,,Governments should incentivize businesses to adopt cleaner production practices.,政府应激励企业采用更清洁的生产方式。,“engage in/adopt”框架,0
practice,,,,,,,,词伙,,adopt transparent compensation practices,采用透明的薪酬制度,,0
issue,,,,,,,,词伙,,perceptual issues,感知问题；观念问题,,0
issue,,,,,,,,词伙,,perceptual issues arise from …,感知问题源于…,,0
employee,,,,,,,,词伙,,rank-and-file employees,普通员工；基层员工,,0
asymmetry,,,,,,,,词伙,,information asymmetry,信息不对称,经济学概念，指各方掌握信息不同,0
visibility,,,,,,,,词伙,,sb. have little visibility into the genuine demands of (directorial roles),某人对（总监角色的）真实要求知之甚少,,0
quantifiability,,,,,,,,词伙,,sth. are not easily quantifiable,某事难以量化,,0
scepticism,,,,,,,,词伙,,this fuels scepticism about (whether) …,这助长了（关于是否…的）怀疑,,0
transparency,,,,,,,,词伙,,systemic transparency,系统性透明,,0
mechanism,,,,,,,,词伙,,accountability  mechanisms,问责机制,,0
justifiability,,,,,,,,词伙,,sth. is fundamentally justifiable,某事从根本上说是合理的,,0
legitimacy,,,,,,,,词伙,,their legitimacy must be actively constructed,必须积极构建其合法性,,0
disparity,,,,,,,,词伙,,institutionalise justifiable disparity,将合理的差异制度化,,0
justice,,,,,,,,词伙,,(uphold) procedural justice,（维护）程序正义,,0
structure,,,,,,,,词伙,,salary structures should be transparent and tied to measurable performance metrics,薪酬结构应透明且与可衡量的绩效指标挂钩,,0
metric,,,,,,,,词伙,,measurable performance metrics,可衡量的绩效指标,,0
legitimacy,,,,,,,,词伙,,ensure legitimacy,确保合法性,,0
rationale,,,,,,,,词伙,,understand the rationale behind pay disparities,理解薪酬差异背后的原理,,0
gap,,,,,,,,词伙,,bridge the information gap,弥合信息差,,0
strength,,,,,,,,词伙,,harnesses the collective strength of the entire workforce,凝聚整个员工队伍的集体力量,,0
strength,,,,,,,,词伙,,cohesive strength,凝聚力,,0
system,,,,,,,,词伙,,robust oversight and correction systems must be established,必须建立强有力的监督和纠正体系,,0
corruption,,,,,,,,词伙,,rooting out corruption and incompetence,根除腐败和无能,,0
potential,,,,,,,,词伙,,dual potential to …,具有…的双重潜力,,0
performance,,,,,,,,词伙,,drive performance,驱动绩效,,0
inequity,,,,,,,,词伙,,create inequity,造成不公,,0
deficiency,,,,,,,,词伙,,systemic deficiencies,系统性缺陷,,0
check,,,,,,,,词伙,,implementing robust checks,实施强有力的制衡措施,,0
organisation,,,,,,,,词伙,,foster healthy and promising organisations,培育健康且有前途的组织,,0
engine,,,,,,,,词伙,,an indispensable engine,不可或缺的引擎,,0
efficiency,,,,,,,,词伙,,corporate efficiency,企业效率,,0
source,,,,,,,,词伙,,a source of deep-seated inequity,根深蒂固的不平等之源,,0
safeguard,,,,,,,,词伙,,stringent institutional safeguards,严格的制度保障,,0
number,,,,,,,,句式,,Nowadays` an increasing number of … tend to …,如今`越来越多的…倾向于…,用于开篇描述普遍现象,0
proponent,,,,,,,,句式,,Proponents argue that …` while others strongly oppose …,支持者认为…`而其他人强烈反对…,用于引出对立观点,0
contention,,,,,,,,句式,,I contend that …,我认为…,用于明确阐述个人观点,0
merit,,,,,,,,句式,,both perspectives hold merit,两种观点都有其道理,用于承认双方合理性,0
approach,,,,,,,,句式,,the optimal approach lies in …,最优方法在于…,用于提出解决方案,0
benefit,,,,,,,,句式,,harnessing the benefits of ... while mitigating their drawbacks,利用…的好处`同时减轻其弊端,用于表达辩证的解决方案,0
view,,,,,,,,句式,,be viewed as …,可以被视为…,用于下定义或做比喻,0
investment,,,,,,,,句式,,Only when (consistent investment) is made can (women's sports) thrive.,只有当（持续投资）到位`（女子运动）才能蓬勃发展。,倒装句`强调条件,0
problem,,,,,,,,句式,,Admittedly` objective problems exist` such as …,诚然`存在客观问题`例如…,用于让步论证,0
deficiency,,,,,,,,句式,,highlights a deeper deficiency in …,突显了…方面更深层的缺陷,用于深化分析,0
debate,,,,,,,,句式,,In conclusion` the debate around … is valid` reflecting …,总之`围绕…的辩论是有道理的`它反映了…,用于总结性开头,0
origin,,,,,,,,句式,,… stem from …,…源于…,用于分析原因,0
way,,,,,,,,句式,,The way forward is to embrace their motivational value while …,未来的方向是接纳其激励价值`同时…,用于提出建设性结论,0
gap,,,,,,,,句式,,The widening gap between … has sparked intense debate.,…之间日益扩大的差距引发了激烈争论。,高分开篇句式,0
proponent,,,,,,,,句式,,Proponents defend it as …` while critics condemn it as …,支持者为其辩护`称其为…`而批评者则谴责其为…,更丰富的观点引出方式,0
perspective,,,,,,,,句式,,While I acknowledge the validity of both perspectives` I argue that …,虽然我承认双方观点都有道理`但我认为…,更地道的个人立场引入,0
standpoint,,,,,,,,句式,,From an economic standpoint` …,从经济角度来看`…,用于引入经济学视角分析,0
hierarchy,,,,,,,,长句复写,,Salary hierarchies are an outcome of commercial rationality` which naturally selects for the most effective mechanisms.,薪资等级制度是商业理性的产物`它自然选择了最有效的机制。,,0
director,,,,,,,,长句复写,,Directors who make pivotal decisions steer a company’s development and bear ultimate responsibility for its risks.,做出关键决策的董事们引领公司发展`并为其风险承担最终责任。,,0
professional,,,,,,,,长句复写,,Moreover` seasoned professionals can devise more effective strategies to navigate risks` a skill set that commands greater reward.,此外`经验丰富的专业人士能够设计更有效的策略来驾驭风险`这套技能组合理应获得更高回报。,,0
,,,,,,,,,语法,,,,0
,,,,,,,,,专有名词,,,,0
a,A1,,,,,,,,,a,,,
about,A1,,,,,,,,,about,,,
above,A1,,,,,,,,,above,,,
adult,A1,,,,,,,,,adult,,,
after,A1,,,,,,,,,after,,,
afternoon,A1,,,,,,,,,afternoon,,,
again,A1,,,,,,,,,again,,,
age,A1,,,,,,,,,age,,,
all,A1,,,,,,,,,all,,,
all right,A1,,,,,,,,,all right,,,
alright,A1,,,,,,,,,alright,,,
also,A1,,,,,,,,,also,,,
always,A1,,,,,,,,,always,,,
a.m.,A1,,,,,,,,,a.m.,,,
an,A1,,,,,,,,,an,,,
and,A1,,,,,,,,,and,,,
animal,A1,,,,,,,,,animal,,,
answer,A1,,,,,,,,,answer,,,
any,A1,,,,,,,,,any,,,
anything,A1,,,,,,,,,anything,,,
apple,A1,,,,,,,,,apple,,,
April,A1,,,,,,,,,April,,,
arm,A1,,,,,,,,,arm,,,
as,A1,,,,,,,,,as,,,
ask,A1,,,,,,,,,ask,,,
at,A1,,,,,,,,,at,,,
August,A1,,,,,,,,,August,,,
baby,A1,,,,,,,,,baby,,,
back,A1,,,,,,,,,back,,,
bad,A1,,,,,,,,,bad,,,
bag,A1,,,,,,,,,bag,,,
ball,A1,,,,,,,,,ball,,,
banana,A1,,,,,,,,,banana,,,
band,A1,,,,,,,,,band,,,
bank,A1,,,,,,,,,bank,,,
bar,A1,,,,,,,,,bar,,,
basketball,A1,,,,,,,,,basketball,,,
bath,A1,,,,,,,,,bath,,,
bathroom,A1,,,,,,,,,bathroom,,,
be,A1,,,,,,,,,be,,,
beach,A1,,,,,,,,,beach,,,
beard,A1,,,,,,,,,beard,,,
beautiful,A1,,,,,,,,,beautiful,,,
because,A1,,,,,,,,,because,,,
bed,A1,,,,,,,,,bed,,,
bedroom,A1,,,,,,,,,bedroom,,,
beer,A1,,,,,,,,,beer,,,
before,A1,,,,,,,,,before,,,
begin,A1,,,,,,,,,begin,,,
behind,A1,,,,,,,,,behind,,,
below,A1,,,,,,,,,below,,,
best,A1,,,,,,,,,best,,,
better,A1,,,,,,,,,better,,,
between,A1,,,,,,,,,between,,,
big,A1,,,,,,,,,big,,,
bird,A1,,,,,,,,,bird,,,
birthday,A1,,,,,,,,,birthday,,,
biscuit,A1,,,,,,,,,biscuit,,,
black,A1,,,,,,,,,black,,,
blue,A1,,,,,,,,,blue,,,
board,A1,,,,,,,,,board,,,
boat,A1,,,,,,,,,boat,,,
body,A1,,,,,,,,,body,,,
book,A1,,,,,,,,,book,,,
bored,A1,,,,,,,,,bored,,,
boring,A1,,,,,,,,,boring,,,
both,A1,,,,,,,,,both,,,
bottom,A1,,,,,,,,,bottom,,,
box,A1,,,,,,,,,box,,,
boy,A1,,,,,,,,,boy,,,
bread,A1,,,,,,,,,bread,,,
breakfast,A1,,,,,,,,,breakfast,,,
brother,A1,,,,,,,,,brother,,,
brown,A1,,,,,,,,,brown,,,
bus,A1,,,,,,,,,bus,,,
business,A1,,,,,,,,,business,,,
but,A1,,,,,,,,,but,,,
butter,A1,,,,,,,,,butter,,,
buy,A1,,,,,,,,,buy,,,
bye,A1,,,,,,,,,bye,,,
caf茅,A1,,,,,,,,,caf茅,,,
cake,A1,,,,,,,,,cake,,,
camera,A1,,,,,,,,,camera,,,
can,A1,,,,,,,,,can,,,
cannot,A1,,,,,,,,,cannot,,,
car,A1,,,,,,,,,car,,,
carry,A1,,,,,,,,,carry,,,
cat,A1,,,,,,,,,cat,,,
catch,A1,,,,,,,,,catch,,,
CD,A1,,,,,,,,,CD,,,
CD player,A1,,,,,,,,,CD player,,,
chair,A1,,,,,,,,,chair,,,
cheap,A1,,,,,,,,,cheap,,,
cheese,A1,,,,,,,,,cheese,,,
child,A1,,,,,,,,,child,,,
chip,A1,,,,,,,,,chip,,,
chocolate,A1,,,,,,,,,chocolate,,,
choose,A1,,,,,,,,,choose,,,
cinema,A1,,,,,,,,,cinema,,,
city,A1,,,,,,,,,city,,,
class,A1,,,,,,,,,class,,,
classroom,A1,,,,,,,,,classroom,,,
clean,A1,,,,,,,,,clean,,,
clever,A1,,,,,,,,,clever,,,
clock,A1,,,,,,,,,clock,,,
close,A1,,,,,,,,,close,,,
closed,A1,,,,,,,,,closed,,,
clothes,A1,,,,,,,,,clothes,,,
coat,A1,,,,,,,,,coat,,,
coffee,A1,,,,,,,,,coffee,,,
